Title,Author,State,District,Date of Challenge/Removal,Banned Status,Ban Origin
"Assassination Classroom, Vol. 7","Matsui, Yūsei",Florida,Escambia County Public Schools,Feb-23,Banned Pending Investigation,Formal Challenge
"Assassination Classroom, Vol. 7","Matsui, Yūsei",Florida,School District of Osceola County,May-23,Banned from Libraries and Classrooms,Formal Challenge
"Assassination Classroom, Vol. 8","Matsui, Yūsei",Florida,School District of Osceola County,May-23,Banned from Libraries and Classrooms,Formal Challenge
"Assassination Classroom, Vol. 9","Matsui, Yūsei",Florida,School District of Osceola County,May-23,Banned from Libraries and Classrooms,Formal Challenge
Autoboyography,"Lauren, Christina",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
Baby Moses,"Hayward, Linda",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Back to the Drawing Board,"Gudsnuk, Kristen",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Ban This Book,"Gratz, Alan",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Banned Book Club,"Sook, Kim Hyun",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Baseball Saved Us,"Mochizuki, Ken",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Batman: White Knight,"Murphy, Sean",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Batman: White Knight,"Murphy, Sean",Florida,Escambia County Public Schools,May-23,Banned Pending Investigation,Formal Challenge
Baton Twirling is for Me,"Hawkins, Jim W.",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
"Bats, Cats, and Rats","Miller, Dave",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Beartown,"Backman, Fredrik",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
Beautiful,"Reed, Amy",Florida,Escambia County Public Schools,Oct-22,Banned Pending Investigation,Formal Challenge
